,name,overview,anilist_genres,origin_country,original_language,original_name,first_air_date,year,total_fans,combined_average_score,tmdb_popularity,tmdb_users,vote_average,anilist_users,anilist_average_score,source_material,is_adult,tmdb_id,anilist_id
999,Laughing Under the Clouds,"When swords were outlawed in the eleventh year of the Meiji era, the mighty samurai population began to dwindle. Those who rejected the ban on blades rebelled, causing violent unrest to erupt throughout the countryside. To combat the rise in criminal activity, an inescapable lake prison was constructed. Three young men, born of the Kumo line, were given the duty of delivering criminals to their place of confinement – but could there be more to their mission than meets the eye?",['Action'],['JP'],ja,曇天に笑う,2014-10-04,2014,14421.0,69.98274738228972,2.744,4,7.8,14417.0,70.0,MANGA,False,61742,20817.0
1000,Garo: The Animation,"Mendosa, the chief adviser of the king of Valiante, begins a campaign to hunt down ""witches,"" resulting in the deaths of many magical knights and their sorcerer assistants. Anna, a sorceress married to the knight Herman Lewis, gives birth to a son before her execution. Herman takes their child, Leon, and flees, raising him to be the heir of the legendary Golden Armor. By the time Leon grows up, Valiante is completely in the control of Mendosa, who drives out Prince Alfonso and his mother. Alphonso decides to seek out the man who inherited the Golden Armor to reclaim the throne and save his people.","['Action', 'Fantasy', 'Supernatural']",['JP'],ja,牙狼[GARO]-炎の刻印-,2014-10-03,2014,16508.0,70.98855100557306,6.378,3,8.0,16505.0,71.0,OTHER,False,63453,20753.0
1001,I Can't Understand What My Husband Is Saying,"Kaoru is an office lady you can find anywhere, serious and works diligently, but her husband is a super otaku and more-or-less a NEET. She is caught up in one of her husband's whims one day or the subject of his concerns another, but the two are so close that it's embarrassing to even watch them!","['Comedy', 'Romance', 'Slice of Life']",['JP'],ja,旦那が何を言っているかわからない件,2014-10-03,2014,43503.0,70.9677861296922,11.839,22,7.3,43481.0,71.0,MANGA,False,61433,20735.0
1002,Gundam Reconguista in G,"The Universal Century, a history marked by space colonization and space warfare, has passed. Humanity's prosperity, which ushered in a new era known as Regild Century (R.C.), was believed to endure alongside the global peace. Beruri Zenamu a pilot in training of the of the Capitol Guard is somehow chosen by the G-Serufu - a highly maneuverable Mobile Suit of unknown origin - to lead to uncover hidden truths that will shake the peace of the Regild Century era.","['Action', 'Mecha', 'Sci-Fi']",['JP'],ja,ガンダム Gのレコンギスタ,2014-10-02,2014,5280.0,55.980871212121215,4.707,2,5.5,5278.0,56.0,ORIGINAL,False,61414,20658.0
1003,Denki-Gai,"Umio works part-time at BOOKS Umanohone, a manga shop deep in a certain denki-gai neighbourhood, along with his senior at work (but not in age) Hiotan. As many dedicated manga fans visit the store, there is always something going on.","['Comedy', 'Slice of Life']",['JP'],ja,デンキ街の本屋さん,2014-10-02,2014,19049.0,68.97379389994225,5.691,8,6.6,19041.0,69.0,MANGA,False,61407,20710.0
1004,Karen Senki,,"['Action', 'Sci-Fi']","['JP', 'TW']",ja,Karen Senki,2014-09-27,2014,1511.0,48.973196558570486,0.955,1,8.5,1510.0,49.0,ORIGINAL,False,61400,98745.0
1005,Terra Formars,"Twenty years ago, Shokichi Komachi was part of the Bugs 2 mission to Mars that discovered Terra Formars, human-cockroach hybrids that resulted from a terraforming accident. Shokichi was one of only two survivors. Now, the AE virus that came from Mars is raging wildly on earth. Shokichi boards the spacecraft Annex 1 to go back to Mars to find a sample in order to create a vaccine. They will face an unanticipated accident, a multinational conspiracy, and even more advanced Terra Formars.","['Action', 'Horror', 'Sci-Fi']",['JP'],ja,テラフォーマーズ,2014-09-26,2014,23184.0,64.72919254658386,25.468,109,7.4,23075.0,65.0,MANGA,False,61398,20629.0
1006,Dramatical Murder,,,['JP'],ja,Dramatical Murder,2014-09-21,2014,6.0,4.7,5.9,6,4.7,,,,,61438,
1007,Strike Witches: Operation Victory Arrow,Operation Victory Arrow takes place in the time between the end of Operation Mars in the second season and the movie. Their are three 30-minute short stories that show the lives of some of the members who returned to their homes after season 2.,"['Action', 'Sci-Fi']",['JP'],ja,ストライクウィッチーズ Operation Victory Arrow,2014-09-20,2014,4415.0,71.0,1.475,0,0.0,4415.0,71.0,ORIGINAL,False,67020,20650.0
1008,Chain Chronicle,,,['JP'],ja,Chain Chronicle,2014-09-06,2014,0.0,0.0,2.402,0,0.0,,,,,107560,
